"","SexRatio","ConsRateW","ConsRateS","avgPCF","sdPCF","mortJ1","mortJ2","mortA","remJ1","remJ2","remA","cssJ1","cssJ2","cssA","Pred","Crash","OutbreakCrash","Fbase","CCRatioThresh","CCRatioThresh2","maxmort","RUNNOCOTS"
"1",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,5,0.999,TRUE
"2",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,6,0.999,FALSE
"3",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,7,0.999,FALSE
"4",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,8,0.999,FALSE
"5",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,9,0.999,FALSE
"6",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,10,0.999,FALSE
"7",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,11,0.999,FALSE
"8",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,12,0.999,FALSE
"9",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,13,0.999,FALSE
"10",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,14,0.999,FALSE
"11",5,150,250,2e+07,1e+07,0.98,0.95,0.45,0,0,1,0.9803,0.0171,0.0026,0.98,0,Inf,0.2,40,15,0.999,FALSE
